Carimbo_de_data_hora,Temperatura,Umidade_do_Ar,Umidade_do_Solo,Minutos_Decorridos,ID_Ciclo,Minutos_Decorridos_No_Ciclo
2025-06-18 01:10:01,22.0,83.6,86.1,0.0,0,0.0
2025-06-18 01:40:02,22.0,83.7,87.0,30.02,0,30.02
2025-06-18 02:10:02,20.6,89.9,88.4,60.02,0,60.02
2025-06-18 02:40:03,20.3,90.8,87.8,90.03,0,90.03
2025-06-18 03:10:04,20.3,90.4,88.4,120.05,0,120.05
2025-06-18 03:40:05,20.3,88.8,88.3,150.07,0,150.07
2025-06-18 04:10:06,20.1,90.2,88.7,180.08,0,180.08
2025-06-18 04:40:06,19.9,90.6,88.1,210.08,0,210.08
2025-06-18 05:10:33,19.8,91.3,89.2,240.53,0,240.53
2025-06-18 05:40:28,19.7,91.0,89.2,270.45,0,270.45
2025-06-18 06:10:28,19.5,91.6,89.0,300.45,0,300.45
2025-06-18 06:40:29,19.3,93.3,89.0,330.47,0,330.47
2025-06-18 07:10:30,19.3,94.0,90.0,360.48,0,360.48
2025-06-18 07:40:31,19.3,93.7,89.5,390.5,0,390.5
2025-06-18 08:10:32,19.7,92.9,89.5,420.52,0,420.52
2025-06-18 08:40:40,20.1,91.5,88.7,450.65,0,450.65
2025-06-18 09:10:40,20.6,90.1,89.0,480.65,0,480.65
2025-06-18 09:40:41,21.0,88.3,89.2,510.67,0,510.67
2025-06-18 10:10:42,21.4,87.3,88.6,540.68,0,540.68
2025-06-18 10:40:43,22.1,81.9,88.1,570.7,0,570.7
2025-06-18 11:10:43,23.0,75.9,89.6,600.7,0,600.7
2025-06-18 11:40:44,23.8,69.8,89.2,630.72,0,630.72
2025-06-18 12:10:45,24.2,67.4,89.7,660.73,0,660.73
2025-06-18 13:11:04,25.5,61.8,89.4,721.05,0,721.05
2025-06-18 13:41:05,26.1,55.3,87.6,751.07,0,751.07
2025-06-18 14:11:06,26.3,59.4,87.5,781.08,0,781.08
2025-06-18 14:41:07,26.7,57.9,86.7,811.1,0,811.1
2025-06-18 15:11:08,26.7,64.0,86.1,841.12,0,841.12
2025-06-18 15:41:08,26.5,61.4,86.1,871.12,0,871.12
2025-06-18 16:11:09,26.6,62.4,88.2,901.13,0,901.13
2025-06-18 16:41:10,26.1,63.6,88.3,931.15,0,931.15
2025-06-18 17:11:11,25.9,65.3,89.4,961.17,0,961.17
2025-06-18 17:41:12,25.5,67.2,93.5,991.18,0,991.18
2025-06-18 18:11:13,25.2,67.8,93.9,1021.2,0,1021.2
2025-06-18 23:44:20,22.8,78.3,100.0,1354.32,0,1354.32
2025-06-19 00:14:20,22.7,77.4,95.4,1384.32,0,1384.32
2025-06-19 00:44:21,22.5,77.9,93.8,1414.33,0,1414.33
2025-06-19 01:14:22,22.5,77.0,93.9,1444.35,0,1444.35
